code,amc_id,category_id,name,isin_growth,isin_dividend_payout,isin_dividend_reinvestment
120373,1,1,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct,INF515L01AJ6,INF515L01AJ6,
109493,1,1,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH OPTION,INF515L01494,INF515L01494,
120374,1,1,SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND - Direct,INF515L01AH0,INF515L01AH0,INF515L01AI8
109494,1,1,SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND OPTION,INF515L01478,INF515L01478,INF515L01486
101529,1,1,Sahara Growth Fund-Dividend,INF515L01155,INF515L01155,INF515L01163
120288,1,1,Sahara Growth Fund-Dividend- Direct,INF515L01759,INF515L01759,INF515L01767
101528,1,1,Sahara Growth Fund-Growth,INF515L01171,INF515L01171,
120289,1,1,Sahara Growth Fund-Growth- Direct,INF515L01775,INF515L01775,
120352,1,1,Sahara Infrastructure Fund ---FIXED PRICING -Direct-Dividend,INF515L01924,INF515L01924,INF515L01932
120353,1,1,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Direct-Growth,INF515L01940,INF515L01940,
103730,1,1,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Dividend Option,INF515L01320,INF515L01320,INF515L01338
103731,1,1,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Growth Option,INF515L01346,INF515L01346,
120354,1,1,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Dividend,INF515L01957,INF515L01957,INF515L01965
120355,1,1,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Growth,INF515L01973,INF515L01973,
103732,1,1,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Dividend Option,INF515L01353,INF515L01353,INF515L01361
103733,1,1,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Growth Option,INF515L01379,INF515L01379,
100798,1,1,Sahara Midcap Fund-Auto Payout,INF515L01247,INF515L01247,
120295,1,1,Sahara Midcap Fund-Auto Payout- Direct,INF515L01841,INF515L01841,
100799,1,1,Sahara Midcap Fund-Bonus,INF515L01254,INF515L01254,
120296,1,1,Sahara Midcap Fund-Bonus- Direct,INF515L01858,INF515L01858,
120298,1,1,Sahara Midcap Fund-Dividend -Direct,INF515L01817,INF515L01817,INF515L01825
100797,1,1,Sahara Midcap Fund-Dividend Plan,INF515L01213,INF515L01213,INF515L01221
120297,1,1,Sahara Midcap Fund-Growth Option - Direct,INF515L01833,INF515L01833,
100796,1,1,Sahara Midcap Fund-Growth Plan,INF515L01239,INF515L01239,
108320,1,1,Sahara Power & Natural Resources Fund - Dividend Option,INF515L01445,INF515L01445,INF515L01452
120371,1,1,Sahara Power & Natural resources Fund- Growth - Direct,INF515L01AG2,INF515L01AG2,
108321,1,1,Sahara Power & Natural resources Fund- Growth Option,INF515L01460,INF515L01460,
